"Disease","Report Year","Age Group (year)","Case Count","Case rate per 100,000"
"Acute gastroenteritis",2020,"10–14",8,2.4
"Typhoid fever",2020,"10–14",3,0.9
"Hepatitis A",2020,"10–14",1,0.3
"Poliomyelitis",2020,"10–14",0,0
"VTEC/STEC infection",2020,"10–14",33,9.9
"Paratyphoid fever",2020,"10–14",3,0.9
"Meningococcal disease",2020,"10–14",0,0
"Mumps",2020,"10–14",7,2.1
"Cysticercosis",2020,"10–14",0,0
"Taeniasis",2020,"10–14",0,0
"Cryptosporidiosis",2020,"10–14",41,12.4
"Salmonellosis",2020,"10–14",30,9
"Campylobacteriosis",2020,"10–14",179,53.9
"Tetanus",2020,"10–14",0,0
"Hepatitis C",2020,"10–14",0,0
"Hepatitis NOS",2020,"10–14",0,0
"Trichinosis",2020,"10–14",0,0
"Giardiasis",2020,"10–14",27,8.1
"Invasive pneumococcal disease",2020,"10–14",4,1.2
"Haemophilus influenzae type b",2020,"10–14",0,0
"Leptospirosis",2020,"10–14",0,0
"Meningoencephalitis - primary amoebic",2020,"10–14",0,0
"Shigellosis",2020,"10–14",2,0.6
"Leprosy",2020,"10–14",0,0
"Hepatitis B",2020,"10–14",0,0
"Toxic shellfish poisoning",2020,"15–19",0,0
"Diphtheria",2020,"15–19",0,0
"Hydatid disease",2020,"15–19",0,0
"Cryptosporidiosis",2020,"15–19",59,18.6
"Rabies and other lyssaviruses",2020,"15–19",0,0
"Campylobacteriosis",2020,"15–19",285,89.7
"Rubella",2020,"15–19",0,0
"Brucellosis",2020,"15–19",0,0
"Salmonellosis",2020,"15–19",39,12.3
"Cholera",2020,"15–19",0,0
"Poliomyelitis",2020,"15–19",0,0
"Mumps",2020,"15–19",23,7.2
"Paratyphoid fever",2020,"15–19",1,0.3
"Tuberculosis disease",2020,"15–19",17,5.3
"Listeriosis",2020,"15–19",0,0
"VTEC/STEC infection",2020,"15–19",40,12.6
"Haemophilus influenzae type b",2020,"15–19",0,0
"Typhoid fever",2020,"15–19",1,0.3
"Rickettsial disease",2020,"15–19",0,0
"Rheumatic fever",2020,"15–19",18,5.7
"Shigellosis",2020,"15–19",2,0.6
"Arboviral diseases",2020,"15–19",2,0.6
"Pertussis",2020,"15–19",5,1.6
"Taeniasis",2020,"15–19",1,0.3
"Hepatitis A",2020,"15–19",1,0.3
"Tetanus",2020,"15–19",0,0
"Invasive pneumococcal disease",2020,"15–19",3,0.9
"Cysticercosis",2020,"15–19",0,0
"Q fever",2020,"15–19",0,0
"Leptospirosis",2020,"15–19",3,0.9
"Malaria",2020,"15–19",0,0
"Mpox",2020,"15–19",0,0
"Meningoencephalitis - primary amoebic",2020,"15–19",0,0
"Trichinosis",2020,"15–19",0,0
"Legionellosis",2020,"15–19",1,0.3
"Meningococcal disease",2020,"15–19",5,1.6
"Acute gastroenteritis",2020,"15–19",15,4.7
"Giardiasis",2020,"15–19",18,5.7
"Measles",2020,"15–19",2,0.6
"Hepatitis NOS",2020,"15–19",0,0
"Leprosy",2020,"15–19",0,0
"Hepatitis B",2020,"15–19",0,0
"Yersiniosis",2020,"15–19",43,13.5
"Hepatitis C",2020,"15–19",0,0
"Diphtheria",2020,"20–24",0,0
"Cholera",2020,"20–24",0,0
"Hydatid disease",2020,"20–24",0,0
"Shigellosis",2020,"20–24",2,0.6
"Rabies and other lyssaviruses",2020,"20–24",0,0
"Brucellosis",2020,"20–24",1,0.3
"Campylobacteriosis",2020,"20–24",417,122.6
"Rheumatic fever",2020,"20–24",5,1.5
"Rubella",2020,"20–24",0,0
"Invasive pneumococcal disease",2020,"20–24",6,1.8
"Trichinosis",2020,"20–24",0,0
"Toxic shellfish poisoning",2020,"20–24",0,0
"Leptospirosis",2020,"20–24",3,0.9
"Mumps",2020,"20–24",59,17.3
"Cryptosporidiosis",2020,"20–24",80,23.5
"Listeriosis",2020,"20–24",0,0
"Cysticercosis",2020,"20–24",0,0
"Poliomyelitis",2020,"20–24",0,0
"Arboviral diseases",2020,"20–24",6,1.8
"Rickettsial disease",2020,"20–24",0,0
"VTEC/STEC infection",2020,"20–24",44,12.9
"Hepatitis NOS",2020,"20–24",1,0.3
"Tetanus",2020,"20–24",0,0
"Paratyphoid fever",2020,"20–24",0,0
"Meningoencephalitis - primary amoebic",2020,"20–24",0,0
"Tuberculosis disease",2020,"20–24",35,10.3
"Salmonellosis",2020,"20–24",36,10.6
"Typhoid fever",2020,"20–24",5,1.5
"Mpox",2020,"20–24",0,0
"Taeniasis",2020,"20–24",0,0
"Yersiniosis",2020,"20–24",68,20
"Legionellosis",2020,"20–24",0,0
"Q fever",2020,"20–24",0,0
"Pertussis",2020,"20–24",7,2.1
"Hepatitis C",2020,"20–24",2,0.6
"Measles",2020,"20–24",1,0.3
"Hepatitis B",2020,"20–24",0,0
"Acute gastroenteritis",2020,"20–24",27,7.9
"Giardiasis",2020,"20–24",49,14.4
"Leprosy",2020,"20–24",1,0.3
"Meningococcal disease",2020,"20–24",1,0.3
"Hepatitis A",2020,"20–24",6,1.8
"Malaria",2020,"20–24",3,0.9
"Haemophilus influenzae type b",2020,"20–24",0,0
"Diphtheria",2020,"25–29",0,0
"Hepatitis B",2020,"25–29",1,0.3
"Listeriosis",2020,"25–29",3,0.8
"Rabies and other lyssaviruses",2020,"25–29",0,0
"Rheumatic fever",2020,"25–29",10,2.6
"Pertussis",2020,"25–29",12,3.1
"Measles",2020,"25–29",0,0
"VTEC/STEC infection",2020,"25–29",45,11.7
"Toxic shellfish poisoning",2020,"25–29",0,0
"Cysticercosis",2020,"25–29",0,0
"Campylobacteriosis",2020,"25–29",373,97.3
"Shigellosis",2020,"25–29",5,1.3
"Leptospirosis",2020,"25–29",4,1
"Trichinosis",2020,"25–29",0,0
"Poliomyelitis",2020,"25–29",0,0
"Hydatid disease",2020,"25–29",0,0
"Tuberculosis disease",2020,"25–29",44,11.5
"Cholera",2020,"25–29",0,0
"Tetanus",2020,"25–29",0,0
"Hepatitis NOS",2020,"25–29",0,0
"Taeniasis",2020,"25–29",0,0
"Brucellosis",2020,"25–29",0,0
"Invasive pneumococcal disease",2020,"25–29",8,2.1
"Mumps",2020,"25–29",28,7.3
"Rubella",2020,"25–29",0,0
"Acute gastroenteritis",2020,"25–29",19,5
"Hepatitis C",2020,"25–29",4,1
"Arboviral diseases",2020,"25–29",8,2.1
"Giardiasis",2020,"25–29",91,23.7
"Q fever",2020,"25–29",0,0
"Leprosy",2020,"25–29",1,0.3
"Yersiniosis",2020,"25–29",86,22.4
"Malaria",2020,"25–29",2,0.5
"Typhoid fever",2020,"25–29",1,0.3
"Cryptosporidiosis",2020,"25–29",73,19
"Rickettsial disease",2020,"25–29",0,0
"Salmonellosis",2020,"25–29",40,10.4
"Mpox",2020,"25–29",0,0
"Meningococcal disease",2020,"25–29",0,0
"Paratyphoid fever",2020,"25–29",5,1.3
"Legionellosis",2020,"25–29",1,0.3
"Meningoencephalitis - primary amoebic",2020,"25–29",0,0
"Haemophilus influenzae type b",2020,"25–29",0,0
"Hepatitis A",2020,"25–29",4,1
"Hepatitis B",2020,"30–34",1,0.3
"Mumps",2020,"30–34",5,1.3
"Pertussis",2020,"30–34",9,2.4
"Campylobacteriosis",2020,"30–34",305,81.6
"Measles",2020,"30–34",0,0
"Q fever",2020,"30–34",0,0
"Tetanus",2020,"30–34",0,0
"Yersiniosis",2020,"30–34",91,24.4
"Tuberculosis disease",2020,"30–34",45,12
"Invasive pneumococcal disease",2020,"30–34",22,5.9
"Hepatitis C",2020,"30–34",4,1.1
"VTEC/STEC infection",2020,"30–34",37,9.9
"Trichinosis",2020,"30–34",0,0
"Rabies and other lyssaviruses",2020,"30–34",0,0
"Leptospirosis",2020,"30–34",4,1.1
"Hepatitis NOS",2020,"30–34",0,0
"Listeriosis",2020,"30–34",0,0
"Cryptosporidiosis",2020,"30–34",59,15.8
"Meningoencephalitis - primary amoebic",2020,"30–34",0,0
"Malaria",2020,"30–34",2,0.5
"Leprosy",2020,"30–34",0,0
"Taeniasis",2020,"30–34",1,0.3
"Acute gastroenteritis",2020,"30–34",29,7.8
"Hydatid disease",2020,"30–34",0,0
"Giardiasis",2020,"30–34",143,38.3
"Rubella",2020,"30–34",0,0
"Cholera",2020,"30–34",0,0
"Rheumatic fever",2020,"30–34",8,2.1
"Meningococcal disease",2020,"30–34",1,0.3
"Arboviral diseases",2020,"30–34",7,1.9
"Shigellosis",2020,"30–34",6,1.6
"Toxic shellfish poisoning",2020,"30–34",0,0
"Mpox",2020,"30–34",0,0
"Brucellosis",2020,"30–34",0,0
"Diphtheria",2020,"30–34",0,0
"Paratyphoid fever",2020,"30–34",3,0.8
"Legionellosis",2020,"30–34",0,0
"Rickettsial disease",2020,"30–34",0,0
"Poliomyelitis",2020,"30–34",0,0
"Typhoid fever",2020,"30–34",5,1.3
"Hepatitis A",2020,"30–34",2,0.5
"Cysticercosis",2020,"30–34",0,0
"Haemophilus influenzae type b",2020,"30–34",0,0
"Salmonellosis",2020,"30–34",32,8.6
"Tuberculosis disease",2020,"35–39",24,7.2
"Campylobacteriosis",2020,"35–39",263,78.6
"Listeriosis",2020,"35–39",4,1.2
"Q fever",2020,"35–39",0,0
"Pertussis",2020,"35–39",7,2.1
"Trichinosis",2020,"35–39",0,0
"Hydatid disease",2020,"35–39",0,0
"Malaria",2020,"35–39",1,0.3
"Leptospirosis",2020,"35–39",5,1.5
"Hepatitis C",2020,"35–39",6,1.8
"Tetanus",2020,"35–39",0,0
"Giardiasis",2020,"35–39",130,38.9
"Yersiniosis",2020,"35–39",83,24.8
"Cryptosporidiosis",2020,"35–39",38,11.4
"Rheumatic fever",2020,"35–39",1,0.3
"Invasive pneumococcal disease",2020,"35–39",11,3.3
"Brucellosis",2020,"35–39",0,0
"Rabies and other lyssaviruses",2020,"35–39",0,0
"Cholera",2020,"35–39",0,0
"Mpox",2020,"35–39",0,0
"Toxic shellfish poisoning",2020,"35–39",0,0
"Hepatitis NOS",2020,"35–39",3,0.9
"Hepatitis B",2020,"35–39",3,0.9
"Poliomyelitis",2020,"35–39",0,0
"Leprosy",2020,"35–39",0,0
"Meningococcal disease",2020,"35–39",0,0
"Acute gastroenteritis",2020,"35–39",22,6.6
"Mumps",2020,"35–39",5,1.5
"Cysticercosis",2020,"35–39",0,0
"Arboviral diseases",2020,"35–39",5,1.5
"Measles",2020,"35–39",1,0.3
"Rubella",2020,"35–39",0,0
"Taeniasis",2020,"35–39",0,0
"Meningoencephalitis - primary amoebic",2020,"35–39",0,0
"Diphtheria",2020,"35–39",0,0
"Shigellosis",2020,"35–39",6,1.8
"Paratyphoid fever",2020,"35–39",0,0
"Legionellosis",2020,"35–39",0,0
"Typhoid fever",2020,"35–39",1,0.3
"Haemophilus influenzae type b",2020,"35–39",0,0
"VTEC/STEC infection",2020,"35–39",35,10.5
"Salmonellosis",2020,"35–39",26,7.8
"Rickettsial disease",2020,"35–39",3,0.9
"Hepatitis A",2020,"35–39",1,0.3
"Giardiasis",2020,"40–44",86,27.9
"Taeniasis",2020,"40–44",0,0
"Tetanus",2020,"40–44",0,0
"Poliomyelitis",2020,"40–44",0,0
"Leptospirosis",2020,"40–44",3,1
"Hepatitis C",2020,"40–44",4,1.3
"Q fever",2020,"40–44",0,0
"Listeriosis",2020,"40–44",2,0.6
"Hydatid disease",2020,"40–44",0,0
"Measles",2020,"40–44",0,0
"Rheumatic fever",2020,"40–44",3,1
"Pertussis",2020,"40–44",5,1.6
"Invasive pneumococcal disease",2020,"40–44",11,3.6
"Rabies and other lyssaviruses",2020,"40–44",0,0
"Tuberculosis disease",2020,"40–44",18,5.8
"Toxic shellfish poisoning",2020,"40–44",0,0
"Malaria",2020,"40–44",3,1
"Legionellosis",2020,"40–44",5,1.6
"Trichinosis",2020,"40–44",0,0
"Cryptosporidiosis",2020,"40–44",36,11.7
"Meningococcal disease",2020,"40–44",1,0.3
"Leprosy",2020,"40–44",0,0
"Hepatitis NOS",2020,"40–44",0,0
"Mpox",2020,"40–44",0,0
"Hepatitis B",2020,"40–44",2,0.6
"Cysticercosis",2020,"40–44",0,0
"Haemophilus influenzae type b",2020,"40–44",0,0
"Acute gastroenteritis",2020,"40–44",23,7.5
"Mumps",2020,"40–44",2,0.6
"Hepatitis A",2020,"40–44",1,0.3
"VTEC/STEC infection",2020,"40–44",33,10.7
"Brucellosis",2020,"40–44",0,0
"Cholera",2020,"40–44",0,0
"Meningoencephalitis - primary amoebic",2020,"40–44",0,0
"Arboviral diseases",2020,"40–44",2,0.6
"Salmonellosis",2020,"40–44",31,10.1
"Paratyphoid fever",2020,"40–44",0,0
"Rubella",2020,"40–44",0,0
"Shigellosis",2020,"40–44",4,1.3
"Campylobacteriosis",2020,"40–44",242,78.6
"Yersiniosis",2020,"40–44",69,22.4
"Rickettsial disease",2020,"40–44",0,0
"Typhoid fever",2020,"40–44",0,0
"Diphtheria",2020,"40–44",0,0
"Haemophilus influenzae type b",2021,"0–4",3,1
"Acute gastroenteritis",2021,"0–4",19,6.2
"Invasive pneumococcal disease",2021,"0–4",66,21.6
"Paratyphoid fever",2021,"0–4",0,0
"Pertussis",2021,"0–4",8,2.6
"Typhoid fever",2021,"0–4",1,0.3
"Rickettsial disease",2021,"0–4",0,0
"Leprosy",2021,"0–4",0,0
"Q fever",2021,"0–4",0,0
"Toxic shellfish poisoning",2021,"0–4",0,0
"Poliomyelitis",2021,"0–4",0,0
"Meningoencephalitis - primary amoebic",2021,"0–4",0,0
"Hepatitis A",2021,"0–4",1,0.3
"Brucellosis",2021,"0–4",0,0
"Meningococcal disease",2021,"0–4",21,6.9
"Cysticercosis",2021,"0–4",0,0
"Measles",2021,"0–4",0,0
"Cryptosporidiosis",2021,"0–4",138,45.2
"Yersiniosis",2021,"0–4",269,88.2
"Rabies and other lyssaviruses",2021,"0–4",0,0
"Giardiasis",2021,"0–4",233,76.4
"Tuberculosis disease",2021,"0–4",2,0.7
"Legionellosis",2021,"0–4",0,0
"Rheumatic fever",2021,"0–4",1,0.3
"VTEC/STEC infection",2021,"0–4",209,68.5
"Shigellosis",2021,"0–4",0,0
"Rubella",2021,"0–4",0,0
"Mpox",2021,"0–4",0,0
"Hepatitis B",2021,"0–4",0,0
"Leptospirosis",2021,"0–4",0,0
"Tetanus",2021,"0–4",0,0
"Hydatid disease",2021,"0–4",0,0
"Hepatitis C",2021,"0–4",0,0
"Mumps",2021,"0–4",0,0
"Diphtheria",2021,"0–4",0,0
"Cholera",2021,"0–4",0,0
"Malaria",2021,"0–4",0,0
"Arboviral diseases",2021,"0–4",0,0
"Taeniasis",2021,"0–4",0,0
"Campylobacteriosis",2021,"0–4",649,212.7
"Salmonellosis",2021,"0–4",161,52.8
"Listeriosis",2021,"0–4",0,0
"Hepatitis NOS",2021,"0–4",0,0
"Trichinosis",2021,"0–4",0,0
"Hydatid disease",2021,"45–49",0,0
"Q fever",2021,"45–49",0,0
"Taeniasis",2021,"45–49",0,0
"Diphtheria",2021,"45–49",0,0
"Campylobacteriosis",2021,"45–49",306,94.7
"Trichinosis",2021,"45–49",0,0
"Cysticercosis",2021,"45–49",0,0
"Cholera",2021,"45–49",0,0
"VTEC/STEC infection",2021,"45–49",30,9.3
"Tetanus",2021,"45–49",0,0
"Haemophilus influenzae type b",2021,"45–49",0,0
"Salmonellosis",2021,"45–49",38,11.8
"Listeriosis",2021,"45–49",1,0.3
"Acute gastroenteritis",2021,"45–49",6,1.9
"Poliomyelitis",2021,"45–49",0,0
"Arboviral diseases",2021,"45–49",1,0.3
"Malaria",2021,"45–49",1,0.3
"Mpox",2021,"45–49",0,0
"Toxic shellfish poisoning",2021,"45–49",0,0
"Cryptosporidiosis",2021,"45–49",22,6.8
"Rabies and other lyssaviruses",2021,"45–49",0,0
"Hepatitis C",2021,"45–49",5,1.5
"Typhoid fever",2021,"45–49",0,0
"Hepatitis A",2021,"45–49",0,0
"Giardiasis",2021,"45–49",58,17.9
"Mumps",2021,"45–49",0,0
"Rickettsial disease",2021,"45–49",0,0
"Meningococcal disease",2021,"45–49",0,0
"Paratyphoid fever",2021,"45–49",0,0
"Yersiniosis",2021,"45–49",76,23.5
"Brucellosis",2021,"45–49",0,0
"Tuberculosis disease",2021,"45–49",26,8
"Leprosy",2021,"45–49",0,0
"Invasive pneumococcal disease",2021,"45–49",17,5.3
"Measles",2021,"45–49",0,0
"Hepatitis B",2021,"45–49",2,0.6
"Pertussis",2021,"45–49",3,0.9
"Rheumatic fever",2021,"45–49",1,0.3
"Legionellosis",2021,"45–49",9,2.8
"Leptospirosis",2021,"45–49",4,1.2
"Shigellosis",2021,"45–49",0,0
"Hepatitis NOS",2021,"45–49",1,0.3
"Rubella",2021,"45–49",0,0
"Meningoencephalitis - primary amoebic",2021,"45–49",0,0
"Tetanus",2021,"50–54",0,0
"Listeriosis",2021,"50–54",1,0.3
"Tuberculosis disease",2021,"50–54",11,3.3
"Q fever",2021,"50–54",0,0
"Malaria",2021,"50–54",4,1.2
"Mpox",2021,"50–54",0,0
"Trichinosis",2021,"50–54",0,0
"Cryptosporidiosis",2021,"50–54",18,5.4
"Meningoencephalitis - primary amoebic",2021,"50–54",0,0
"Haemophilus influenzae type b",2021,"50–54",0,0
"Paratyphoid fever",2021,"50–54",0,0
"Campylobacteriosis",2021,"50–54",366,110.7
"Rabies and other lyssaviruses",2021,"50–54",0,0
"Pertussis",2021,"50–54",4,1.2
"VTEC/STEC infection",2021,"50–54",42,12.7
"Cholera",2021,"50–54",0,0
"Poliomyelitis",2021,"50–54",0,0
"Acute gastroenteritis",2021,"50–54",22,6.7
"Leprosy",2021,"50–54",0,0
"Leptospirosis",2021,"50–54",5,1.5
"Yersiniosis",2021,"50–54",86,26
"Brucellosis",2021,"50–54",0,0
"Hepatitis C",2021,"50–54",6,1.8
"Taeniasis",2021,"50–54",0,0
"Mumps",2021,"50–54",0,0
"Typhoid fever",2021,"50–54",0,0
"Salmonellosis",2021,"50–54",45,13.6
"Measles",2021,"50–54",0,0
"Meningococcal disease",2021,"50–54",0,0
"Toxic shellfish poisoning",2021,"50–54",0,0
"Invasive pneumococcal disease",2021,"50–54",17,5.1
"Cysticercosis",2021,"50–54",0,0
"Shigellosis",2021,"50–54",0,0
"Rubella",2021,"50–54",0,0
"Rheumatic fever",2021,"50–54",0,0
"Diphtheria",2021,"50–54",0,0
"Hepatitis B",2021,"50–54",2,0.6
"Rickettsial disease",2021,"50–54",0,0
"Giardiasis",2021,"50–54",46,13.9
"Hydatid disease",2021,"50–54",0,0
"Arboviral diseases",2021,"50–54",0,0
"Hepatitis NOS",2021,"50–54",1,0.3
"Hepatitis A",2021,"50–54",1,0.3
"Legionellosis",2021,"50–54",18,5.4
"Listeriosis",2021,"55–59",5,1.5
"Hepatitis C",2021,"55–59",3,0.9
"Mpox",2021,"55–59",0,0
"Tetanus",2021,"55–59",0,0
"Taeniasis",2021,"55–59",0,0
"Pertussis",2021,"55–59",2,0.6
"Paratyphoid fever",2021,"55–59",0,0
"Malaria",2021,"55–59",0,0
"Arboviral diseases",2021,"55–59",0,0
"Brucellosis",2021,"55–59",0,0
"Acute gastroenteritis",2021,"55–59",16,4.9
"Cryptosporidiosis",2021,"55–59",15,4.6
"Mumps",2021,"55–59",1,0.3
"Poliomyelitis",2021,"55–59",0,0
"Leprosy",2021,"55–59",0,0
"Leptospirosis",2021,"55–59",10,3.1
"Tuberculosis disease",2021,"55–59",17,5.3
"Cysticercosis",2021,"55–59",0,0
"Meningoencephalitis - primary amoebic",2021,"55–59",0,0
"Haemophilus influenzae type b",2021,"55–59",0,0
"VTEC/STEC infection",2021,"55–59",48,14.8
"Hepatitis B",2021,"55–59",2,0.6
"Rabies and other lyssaviruses",2021,"55–59",0,0
"Trichinosis",2021,"55–59",0,0
"Meningococcal disease",2021,"55–59",2,0.6
"Measles",2021,"55–59",0,0
"Cholera",2021,"55–59",0,0
"Invasive pneumococcal disease",2021,"55–59",32,9.9
"Shigellosis",2021,"55–59",0,0
"Diphtheria",2021,"55–59",0,0
"Hepatitis NOS",2021,"55–59",2,0.6
"Q fever",2021,"55–59",0,0
"Salmonellosis",2021,"55–59",48,14.8
"Campylobacteriosis",2021,"55–59",374,115.6
"Yersiniosis",2021,"55–59",71,21.9
"Rheumatic fever",2021,"55–59",0,0
"Hydatid disease",2021,"55–59",0,0
"Legionellosis",2021,"55–59",13,4
"Rickettsial disease",2021,"55–59",0,0
"Giardiasis",2021,"55–59",51,15.8
"Hepatitis A",2021,"55–59",1,0.3
"Typhoid fever",2021,"55–59",0,0
"Rubella",2021,"55–59",0,0
"Toxic shellfish poisoning",2021,"55–59",1,0.3
"Listeriosis",2021,"60–64",2,0.7
"Paratyphoid fever",2021,"60–64",0,0
"Malaria",2021,"60–64",0,0
"Mpox",2021,"60–64",0,0
"Meningoencephalitis - primary amoebic",2021,"60–64",0,0
"Invasive pneumococcal disease",2021,"60–64",58,19.5
"Tuberculosis disease",2021,"60–64",11,3.7
"Trichinosis",2021,"60–64",0,0
"Cryptosporidiosis",2021,"60–64",17,5.7
"Q fever",2021,"60–64",0,0
"VTEC/STEC infection",2021,"60–64",37,12.4
"Hydatid disease",2021,"60–64",0,0
"Pertussis",2021,"60–64",2,0.7
"Measles",2021,"60–64",0,0
"Hepatitis C",2021,"60–64",3,1
"Haemophilus influenzae type b",2021,"60–64",0,0
"Acute gastroenteritis",2021,"60–64",13,4.4
"Brucellosis",2021,"60–64",0,0
"Taeniasis",2021,"60–64",0,0
"Salmonellosis",2021,"60–64",51,17.2
"Rabies and other lyssaviruses",2021,"60–64",0,0
"Meningococcal disease",2021,"60–64",2,0.7
"Leptospirosis",2021,"60–64",6,2
"Hepatitis B",2021,"60–64",2,0.7
"Poliomyelitis",2021,"60–64",0,0
"Leprosy",2021,"60–64",0,0
"Yersiniosis",2021,"60–64",85,28.6
"Arboviral diseases",2021,"60–64",0,0
"Rheumatic fever",2021,"60–64",0,0
"Tetanus",2021,"60–64",0,0
"Diphtheria",2021,"60–64",0,0
"Cysticercosis",2021,"60–64",0,0
"Cholera",2021,"60–64",0,0
"Rickettsial disease",2021,"60–64",0,0
"Shigellosis",2021,"60–64",0,0
"Giardiasis",2021,"60–64",79,26.6
"Hepatitis NOS",2021,"60–64",0,0
"Toxic shellfish poisoning",2021,"60–64",2,0.7
"Mumps",2021,"60–64",0,0
"Typhoid fever",2021,"60–64",0,0
"Hepatitis A",2021,"60–64",0,0
"Rubella",2021,"60–64",0,0
"Legionellosis",2021,"60–64",23,7.7
"Campylobacteriosis",2021,"60–64",390,131.2
"Mpox",2021,"65–69",0,0
"Leptospirosis",2021,"65–69",2,0.8
"Haemophilus influenzae type b",2021,"65–69",0,0
"Invasive pneumococcal disease",2021,"65–69",46,18.2
"Cryptosporidiosis",2021,"65–69",10,4
"Leprosy",2021,"65–69",0,0
"Taeniasis",2021,"65–69",0,0
"Malaria",2021,"65–69",0,0
"Acute gastroenteritis",2021,"65–69",12,4.7
"VTEC/STEC infection",2021,"65–69",51,20.2
"Paratyphoid fever",2021,"65–69",1,0.4
"Shigellosis",2021,"65–69",0,0
"Hydatid disease",2021,"65–69",0,0
"Tuberculosis disease",2021,"65–69",15,5.9
"Cysticercosis",2021,"65–69",0,0
"Rheumatic fever",2021,"65–69",1,0.4
"Hepatitis C",2021,"65–69",0,0
"Tetanus",2021,"65–69",0,0
"Hepatitis NOS",2021,"65–69",0,0
"Hepatitis B",2021,"65–69",1,0.4
"Cholera",2021,"65–69",0,0
"Poliomyelitis",2021,"65–69",0,0
"Yersiniosis",2021,"65–69",67,26.5
"Pertussis",2021,"65–69",0,0
"Measles",2021,"65–69",0,0
"Listeriosis",2021,"65–69",2,0.8
"Meningoencephalitis - primary amoebic",2021,"65–69",0,0
"Q fever",2021,"65–69",0,0
"Brucellosis",2021,"65–69",0,0
"Salmonellosis",2021,"65–69",37,14.6
"Rabies and other lyssaviruses",2021,"65–69",0,0
"Trichinosis",2021,"65–69",0,0
"Meningococcal disease",2021,"65–69",0,0
"Toxic shellfish poisoning",2021,"65–69",0,0
"Giardiasis",2021,"65–69",41,16.2
"Rubella",2021,"65–69",0,0
"Arboviral diseases",2021,"65–69",0,0
"Campylobacteriosis",2021,"65–69",345,136.5
"Hepatitis A",2021,"65–69",1,0.4
"Typhoid fever",2021,"65–69",0,0
"Rickettsial disease",2021,"65–69",0,0
"Legionellosis",2021,"65–69",29,11.5
"Mumps",2021,"65–69",0,0
"Diphtheria",2021,"65–69",0,0
"Hepatitis B",2021,"70–74",1,0.5
"Malaria",2021,"70–74",1,0.5
"Shigellosis",2021,"70–74",0,0
"Toxic shellfish poisoning",2021,"70–74",0,0
"Acute gastroenteritis",2021,"70–74",13,5.9
"Leprosy",2021,"70–74",0,0
"Tetanus",2021,"70–74",0,0
"Paratyphoid fever",2021,"70–74",0,0
"Taeniasis",2021,"70–74",0,0
"Mpox",2021,"70–74",0,0
"Pertussis",2021,"70–74",4,1.8
"Haemophilus influenzae type b",2021,"70–74",0,0
"Leptospirosis",2021,"70–74",10,4.6
"Hepatitis C",2021,"70–74",0,0
"Listeriosis",2021,"70–74",3,1.4
"Meningococcal disease",2021,"70–74",1,0.5
"Giardiasis",2021,"70–74",24,11
"Hepatitis NOS",2021,"70–74",0,0
"Salmonellosis",2021,"70–74",34,15.5
"Invasive pneumococcal disease",2021,"70–74",36,16.4
"Arboviral diseases",2021,"70–74",0,0
"Measles",2021,"70–74",0,0
"Tuberculosis disease",2021,"70–74",12,5.5
"Meningoencephalitis - primary amoebic",2021,"70–74",0,0
"Brucellosis",2021,"70–74",1,0.5
"Cysticercosis",2021,"70–74",0,0
"Cryptosporidiosis",2021,"70–74",9,4.1
"Rabies and other lyssaviruses",2021,"70–74",0,0
"Trichinosis",2021,"70–74",0,0
"Diphtheria",2021,"70–74",0,0
"VTEC/STEC infection",2021,"70–74",61,27.9
"Cholera",2021,"70–74",0,0
"Hydatid disease",2021,"70–74",1,0.5
"Rickettsial disease",2021,"70–74",0,0
"Campylobacteriosis",2021,"70–74",364,166.2
"Yersiniosis",2021,"70–74",60,27.4
"Q fever",2021,"70–74",0,0
"Poliomyelitis",2021,"70–74",0,0
"Legionellosis",2021,"70–74",27,12.3
"Mumps",2021,"70–74",0,0
"Typhoid fever",2021,"70–74",0,0
"Hepatitis A",2021,"70–74",0,0
"Rubella",2021,"70–74",0,0
"Rheumatic fever",2021,"70–74",0,0
"Meningococcal disease",2021,"75–79",0,0
"Giardiasis",2021,"75–79",12,7.9
"Invasive pneumococcal disease",2021,"75–79",29,19.2
"Leprosy",2021,"75–79",0,0
"Paratyphoid fever",2021,"75–79",0,0
"Malaria",2021,"75–79",0,0
"Mpox",2021,"75–79",0,0
"Tetanus",2021,"75–79",1,0.7
"Shigellosis",2021,"75–79",0,0
"Hepatitis C",2021,"75–79",0,0
"Hydatid disease",2021,"75–79",0,0
"Trichinosis",2021,"75–79",0,0
"VTEC/STEC infection",2021,"75–79",37,24.5
"Hepatitis B",2021,"75–79",0,0
"Acute gastroenteritis",2021,"75–79",9,6
"Taeniasis",2021,"75–79",0,0
"Toxic shellfish poisoning",2021,"75–79",0,0
"Measles",2021,"75–79",0,0
"Tuberculosis disease",2021,"75–79",8,5.3
"Listeriosis",2021,"75–79",2,1.3
"Haemophilus influenzae type b",2021,"75–79",0,0
"Leptospirosis",2021,"75–79",3,2
"Q fever",2021,"75–79",0,0
"Mumps",2021,"75–79",0,0
"Rickettsial disease",2021,"75–79",0,0
"Rabies and other lyssaviruses",2021,"75–79",0,0
"Hepatitis NOS",2021,"75–79",0,0
"Diphtheria",2021,"75–79",0,0
"Rubella",2021,"75–79",0,0
"Poliomyelitis",2021,"75–79",0,0
"Legionellosis",2021,"75–79",29,19.2
